Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against,trn_id,game_type,opp_region,opp_rank,opp_rtg,gm_id,folder
6/26/23 15:50,Wild Card,6/24/23,9:00,0,15,5,Win,5,10,29,8,21,156,14,12,2,11,12,0,0,1,pp,NE,43,1386,1,Wild Card 2023-06-24_09-00-00
6/27/23 12:18,Port Authority,6/24/23,11:00,0,15,3,Win,4,11,23,7,16,100,8,7,1,11,8,0,0,1,pp,MA,44,1379,2,Port Authority 2023-06-24_11-00-00
6/26/23 18:22,Jughandle,6/24/23,13:15,0,15,2,Win,3,12,21,3,18,97,6,4,2,7,11,0,0,1,pp,MA,49,1331,3,Jughandle 2023-06-24_13-15-00
6/27/23 10:26,Rally,6/24/23,15:15,0,15,8,Win,7,8,19,10,9,103,4,4,0,4,6,0,0,1,pp,MA,13,1737,4,Rally 2023-06-24_15-15-00
6/26/23 19:43,Sprocket,6/25/23,10:00,0,15,9,Win,10,5,24,12,12,125,9,7,2,5,9,0,0,1,pp,NE,6,1826,5,Sprocket 2023-06-25_10-00-00
7/19/23 10:04,Funk,7/15/23,9:00,13,13,4,Win,5,8,25,5,20,130,12,10,2,12,8,0,0,2,pp,NE,62,1167,6,Funk 2023-07-15_09-00-00
7/26/23 16:22,Darkwing,7/15/23,10:30,13,7,6,Win,4,3,12,7,5,70,5,5,0,0,6,0,0,2,pp,NE,48,1334,7,Darkwing 2023-07-15_10-30-00
7/26/23 17:05,Grand Army,7/15/23,13:30,13,4,0,Win,0,4,8,0,8,45,4,3,1,3,5,0,0,2,pp,NE,72,1098,8,Grand Army 2023-07-15_13-30-00
7/26/23 17:28,Port Authority,7/15/23,15:00,13,6,7,Loss,5,1,11,7,4,80,5,5,0,2,3,0,0,2,pp,MA,44,1379,9,Port Authority 2023-07-15_15-00-00
8/9/23 14:56,Crazy,8/4/23,8:30,8,15,11,Win,10,5,27,12,15,218,12,9,3,8,7,0,0,3,pp,International,25,1575,10,Crazy 2023-08-04_08-30-00
8/10/23 22:26,Mixtape,8/4/23,15:15,8,13,11,Win,10,3,28,17,11,174,15,14,1,8,8,0,0,3,crossover,NW,9,1819,11,Mixtape 2023-08-04_15-15-00
8/10/23 20:01,BFG,8/5/23,8:30,5,13,15,Loss,10,3,24,19,5,144,10,8,2,6,4,0,1,3,bracket,NW,4,1953,12,BFG 2023-08-05_08-30-00
8/10/23 15:00,Polar Bears,8/5/23,15:45,21,11,15,Loss,10,1,23,19,4,157,12,11,1,4,5,0,0,3,consolation,SW,18,1669,13,Polar Bears 2023-08-05_15-45-00
