folder,gm_id
Wild Card 2023-06-24_09-00-00,1
Port Authority 2023-06-24_11-00-00,2
Jughandle 2023-06-24_13-15-00,3
Rally 2023-06-24_15-15-00,4
Sprocket 2023-06-25_10-00-00,5
Funk 2023-07-15_09-00-00,6
Darkwing 2023-07-15_10-30-00,7
Grand Army 2023-07-15_13-30-00,8
Port Authority 2023-07-15_15-00-00,9
Crazy 2023-08-04_08-30-00,10
Mixtape 2023-08-04_15-15-00,11
BFG 2023-08-05_08-30-00,12
Polar Bears 2023-08-05_15-45-00,13
Mixtape 2023-08-06_10-45-00,14
Love Tractor 2023-09-02_09-00-00,15
Drag'n'Thrust 2023-09-02_13-30-00,16
BFG 2023-09-02_15-45-00,17
Polar Bears 2023-09-03_08-00-00,18
Toro 2023-09-03_12-45-00,19
Hybrid 2023-09-03_15-00-00,20
Love Tractor 2023-09-04_11-00-00,21
Obscure 2023-09-23_08-00-00,22
Townies 2023-09-23_09-45-00,23
Slow 2023-09-23_11-45-00,24
Sprocket 2023-09-24_08-00-00,25
The Buoy Association 2023-09-24_10-00-00,26
Mischief 2023-10-19_11-15-00,27
Lawless 2023-10-20_11-45-00,28
Hybrid 2023-10-21_10-00-00,29
