action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,downwind_dist,upwind_dist,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
2,1,1,1,20.0,23.0,0,71.2499984,9.307692,71.85537838162753,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,23.0,20.0,1,75.85937899999999,4.538460799999999,75.99501963088618,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,1,20.0,23.0,2,75.85937899999999,9.615385600000002,76.46633914672734,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,1,23.0,1.0,3,50.85937100000001,10.615384,51.95538466783879,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,1,1.0,5.0,4,33.4375017,11.4615388,35.34732509825048,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1,1,5.0,1.0,5,16.5625007,16.230769199999997,23.189529927559313,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,1,1.0,20.0,6,27.6562493,15.3076924,31.61002328307855,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,1,20.0,5.0,7,27.265625,0.7692319999999997,27.27647382838275,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,1,1,5.0,20.0,8,6.8750009,13.53846,15.184055339289328,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,20.0,1.0,9,20.5468767,8.769231999999999,22.339954610402117,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,1,1,1.0,20.0,10,17.9687517,3.0000000000000004,18.217465181969,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1,1,20.0,1.0,11,25.6249992,1.6153847999999993,25.67586516657368,0,0,0,0,0,43,1386,970.1999999999999,0,0,1,0,0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
