action_id,year,date,trn_id,gm_id,poss_id,point,poss,thr_id,rec_id,thr_match,rec_match,start_x,start_y,end_x,end_y,dist_yd,gain_yd,horz_yd,o_pt,wind_speed,wind_direction,game_type,opp_region,opp_rank,opp_rtg,postseason,tct,to,thr_err,rec_err,ast_att,hock_ast,huck,swing,dump,from_side,to_side,blk,callahan,stall,drop_pull,scored_on_poss,scored_on_pt,dist_from_middle,dist_from_ez,dist_from_mid_ez,bracket,consolation,other,from_pull,upwind,downwind
1,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,,20.0,,m,0.74423075,0.8323864,0.74423075,0.8323864,0.0,0.0,0.0,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,9.769230000000002,71.56250399999999,72.22624061615636,0,0,1,0,0,0
2,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,23.0,m,w,0.7326923,0.82954544,0.38653848,0.8714489,14.73721933194,-4.582602101839999,14.006620048119999,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9.307692,71.2499984,71.85537838162753,0,0,1,0,0,0
3,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,23.0,20.0,w,m,0.38653848,0.8714489,0.74038464,0.8714489,14.31787895188,0.0,14.31787895188,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.538460799999999,75.85937899999999,75.99501963088618,0,0,1,0,0,0
4,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,23.0,m,w,0.74038464,0.8714489,0.7653846,0.6441761,24.87535367212,24.854776306359998,1.011588265751,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.615385600000002,75.85937899999999,76.46633914672734,0,0,1,0,0,0
5,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,23.0,1.0,w,m,0.7653846,0.6441761,0.21346153,0.48579547,28.262316335399998,17.32066735826,22.33277822594,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.615383999999999,50.85937100000001,51.95538466783879,0,0,1,0,0,0
6,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,1.0,5.0,m,m,0.21346153,0.48579547,0.09423077,0.33238637,17.45687867098,16.77697149149,4.8245020721800005,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11.4615388,33.4375017,35.34732509825048,0,0,1,0,0,0
7,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,5.0,1.0,m,m,0.09423077,0.33238637,0.11730769,0.43323863,11.06876036105,-11.02930291225,0.933774633421,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,16.230769199999997,16.5625007,23.189529927559313,0,0,1,0,0,0
8,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,1.0,20.0,m,m,0.11730769,0.43323863,0.5192308,0.4296875,16.267879632339998,0.3883546358055,16.26324381955,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,15.307692399999999,27.6562493,31.610023283078554,0,0,1,0,0,0
9,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,5.0,m,m,0.5192308,0.4296875,0.8384615,0.24431819,24.037793862250002,20.27217420452,12.91721497857,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7692319999999997,27.265625,27.27647382838275,0,0,1,0,0,0
10,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,5.0,20.0,m,m,0.8384615,0.24431819,0.7192308,0.36860797,14.423267960359999,-13.59245463058,4.8245016347359995,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,13.538459999999999,6.8750009,15.184055339289328,0,0,1,0,0,0
11,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,1.0,m,m,0.7192308,0.36860797,0.425,0.34517047,12.17841143253,2.5631484374999998,11.905627368985,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.769231999999999,20.5468767,22.339954610402117,0,0,1,0,0,0
12,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,1.0,20.0,m,m,0.425,0.34517047,0.45961538,0.41477272,7.73956873963,-7.61177166225,1.400661348646,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.0000000000000004,17.9687517,18.217465181969,0,0,1,0,0,0
13,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,1.0,m,m,0.45961538,0.41477272,0.72692305,0.41761363,10.82068368143,-0.3106843648104,10.816222846239999,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6153847999999993,25.624999199999998,25.67586516657368,0,0,1,0,0,0
14,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,1.0,20.0,m,m,0.72692305,0.41761363,0.58076924,0.31889203,12.309922956274999,10.79629180399,5.9139049545099995,0,0,,pp,NE,43,1386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9.076922,25.9374993,27.479890518915546,0,0,1,0,0,0
15,2023,2023-06-24 09:00:00,1,1,1.1.1,1,1,20.0,23.0,m,w,0.58076924,0.31889203,0.30384615,0.16477273,20.23950698021,16.8546407673,11.20529756955,0,0,,pp,NE,43,1386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3.2307695999999986,15.078123300000001,15.420365574728995,0,0,1,0,0,0
16,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,,26.0,,w,0.09615385,0.61079544,0.09615385,0.61079544,0.0,0.0,0.0,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16.153846,47.187498399999996,49.875913483782114,0,0,1,0,0,0
17,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,20.0,1.0,m,m,0.13653846,0.6058239,0.5903846,0.64772725,18.927368549180002,-4.582595212097,18.364234858270002,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,14.538461599999998,46.64062899999999,48.85401865978186,0,0,1,0,0,0
18,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,1.0,28.0,m,m,0.5903846,0.64772725,0.86346155,0.5134943,18.373708801699998,14.67984855134,11.049668664475,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3.6153840000000015,51.24999749999999,51.37736121306214,0,0,1,0,0,0
19,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,28.0,23.0,m,w,0.86346155,0.5134943,0.88846153,0.34801137,18.12562884125,18.097379801339997,1.011588265751,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,14.538462,36.484373,39.27437269427193,0,0,1,0,0,0
20,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,23.0,28.0,w,m,0.88846153,0.34801137,0.5923077,0.4346591,15.27727675824,-9.475881306919998,11.98344154812,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,15.538461200000002,18.2812507,23.99266353742652,0,0,1,0,0,0
21,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,28.0,26.0,m,w,0.5923077,0.4346591,0.8403846,0.31178978,16.7725653368,13.437110610909999,10.03807777406,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.6923079999999997,27.812501000000005,28.056520636776494,0,0,1,0,0,0
22,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,26.0,9.0,w,w,0.8403846,0.31178978,0.8923077,0.23011364,9.17595110915,8.93218434654,2.100993772745,0,0,,pp,NE,43,1386,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,13.615384000000002,14.296875800000002,19.742830068358533,0,0,1,0,0,0
23,2023,2023-06-24 09:00:00,1,1,1.2.1,2,1,9.0,26.0,w,w,0.8923077,0.23011364,0.86923075,0.05184659,19.51781186901,19.495461761439998,0.933775836392,0,0,,pp,NE,43,1386,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,15.692308,5.312500400000001,16.56717208418094,0,0,1,0,0,0
24,2023,2023-06-24 09:00:00,1,1,1.3.1,3,1,14.0,2.0,m,w,0.78846157,0.82883525,0.7923077,0.6676136,17.632044371899998,17.631357584819998,0.1556272974683,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.538462799999998,71.17187750000001,72.10112530787569,0,0,1,0,0,0
25,2023,2023-06-24 09:00:00,1,1,1.3.1,3,1,2.0,5.0,w,m,0.7923077,0.6676136,0.825,0.51420456,16.8290393572,16.77696821066,1.322847716316,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.692307999999997,53.43749600000001,54.70170056878379,0,0,1,0,0,0
26,2023,2023-06-24 09:00:00,1,1,1.3.1,3,1,5.0,1.0,m,m,0.825,0.51420456,0.8730769,0.4112216,11.42909829439,11.26232058217,1.9453641021430002,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.999999999999998,36.562501600000004,38.80485180038706,0,0,1,0,0,0
27,2023,2023-06-24 09:00:00,1,1,1.3.1,3,1,1.0,23.0,m,w,0.8730769,0.4112216,0.49807692,0.42897728,15.29757853428,-1.941779686007,15.17383875,0,0,,pp,NE,43,1386,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,14.923076000000002,25.234376000000005,29.316751685873257,0,0,1,0,0,0
28,2023,2023-06-24 09:00:00,1,1,1.3.2,3,2,,1.0,,m,0.97692305,0.82883525,0.97692305,0.82883525,0.0,0.0,0.0,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.076922,71.17187750000001,73.68422558369662,0,0,1,0,0,0
29,2023,2023-06-24 09:00:00,1,1,1.3.2,3,2,1.0,14.0,m,m,0.97692305,0.82883525,1.0,0.70951706,13.08212480491,13.04875657659,0.933775836392,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,19.076922,71.17187750000001,73.68422558369662,0,0,1,0,0,0
30,2023,2023-06-24 09:00:00,1,1,1.3.2,3,2,14.0,23.0,m,w,1.0,0.70951706,0.52692306,0.07599432,71.87851680954,69.28268255636,19.14238211767,0,0,,pp,NE,43,1386,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,20.0,58.046876600000004,61.39576437357571,0,0,1,0,0,0
31,2023,2023-06-24 09:00:00,1,1,1.3.3,3,3,,14.0,,m,0.7980769,0.23508523,0.7980769,0.23508523,0.0,0.0,0.0,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11.923075999999998,5.8593753,13.285029928759139,0,0,1,0,0,0
32,2023,2023-06-24 09:00:00,1,1,1.3.3,3,3,14.0,1.0,m,m,0.7980769,0.23508523,0.4903846,0.30042613,14.35522135894,-7.1457450712899995,12.450329903759998,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,11.923075999999998,5.8593753,13.285029928759139,0,0,1,0,0,0
33,2023,2023-06-24 09:00:00,1,1,1.3.3,3,3,1.0,2.0,m,w,0.4903846,0.30042613,0.1826923,0.2627841,13.113230354139999,4.11657004283,12.45032881015,0,0,,pp,NE,43,1386,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.38461599999999985,13.046874299999999,13.052542222397003,0,0,1,0,0,0
34,2023,2023-06-24 09:00:00,1,1,1.3.3,3,3,2.0,8.0,w,w,0.1826923,0.2627841,0.1326923,0.08238637,19.83194368624,19.728475056919997,2.023178390639,0,0,,pp,NE,43,1386,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,12.692307999999999,8.906251000000001,15.505353567134964,0,0,1,0,0,0
35,2023,2023-06-24 09:00:00,1,1,1.4.1,4,1,35.0,4.0,m,w,0.24615385,0.8203125,0.21538462,0.66122156,17.442835624969998,17.39834428934,1.245032881015,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.153846,70.234375,70.96455467507946,0,0,1,0,0,0
36,2023,2023-06-24 09:00:00,1,1,1.4.1,4,1,4.0,25.0,w,m,0.21538462,0.66122156,0.21923077,0.54048294,13.205013760609999,13.20409622182,0.15562910192479998,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.384615199999999,52.7343716,53.9492670135467,0,0,1,0,0,0
37,2023,2023-06-24 09:00:00,1,1,1.4.1,4,1,25.0,27.0,m,w,0.21923077,0.54048294,0.22307692,0.018465908,57.08851220373,57.088301137,0.15562910192479998,0,0,,pp,NE,43,1386,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,11.2307692,39.453123399999996,41.02047199678833,0,0,1,0,0,0
38,2023,2023-06-24 09:00:00,1,1,1.4.2,4,2,35.0,4.0,m,w,0.0,0.8160511,0.051923078,0.64701706,18.604744850299998,18.48573383566,2.100993116579,0,0,,pp,NE,43,1386,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,20.0,69.76562100000001,72.57576643422819,0,0,1,0,0,0
39,2023,2023-06-24 09:00:00,1,1,1.4.3,4,3,,14.0,,m,0.015384615,0.91122156,0.015384615,0.91122156,0.0,0.0,0.0,0,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19.3846154,80.2343716,82.54282343276613,0,0,1,0,0,0
40,2023,2023-06-24 09:00:00,1,1,1.4.3,4,3,21.0,27.0,w,w,0.009615385,0.8167614,0.39807692,0.18394886,70.96763919805,69.2050078125,15.718539644359998,0,0,,pp,NE,43,1386,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,19.615384600000002,69.84375399999999,72.54593914078467,0,0,1,0,0,0
41,2023,2023-06-24 09:00:00,1,1,1.4.3,4,3,27.0,21.0,w,w,0.39807692,0.18394886,0.15961538,0.14417614,10.584053817680001,4.34958443192,9.64900523797,0,0,,pp,NE,43,1386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0769231999999995,0.23437459999999888,4.083654519156021,0,0,1,0,0,0
42,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,31.0,35.0,m,m,0.5192308,0.7947443,0.5903846,0.72159094,8.50243826733,8.000126462096999,2.8791376419540002,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7692319999999997,67.42187299999999,67.42626103157397,0,0,1,1,0,0
43,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,35.0,27.0,m,w,0.5903846,0.72159094,0.6269231,0.6285511,10.28178110729,10.17492666141,1.478477386918,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6153840000000015,59.3750034,59.484973146312065,0,0,1,1,0,0
44,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,27.0,29.0,w,w,0.6269231,0.6285511,0.8326923,0.5177557,14.701677006939999,12.11670011384,8.32615817782,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.076923999999998,49.14062100000001,49.40218405665298,0,0,1,1,0,0
45,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,29.0,4.0,w,w,0.8326923,0.5177557,0.85,0.36292613,16.94679272034,16.93231551116,0.7003312758085,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.307692000000003,36.953127,39.27630661664858,0,0,1,1,0,0
46,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,4.0,31.0,w,m,0.85,0.36292613,0.63269234,0.47230113,14.84559717655,-11.961359374999999,8.793044346239999,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14.0,19.9218743,24.349149381959947,0,0,1,1,0,0
47,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,31.0,25.0,m,m,0.63269234,0.47230113,0.19423077,0.44673297,17.96071026603,2.796159108316,17.74172033158,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.307693599999999,31.9531243,32.39095188293687,0,0,1,1,0,0
48,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,25.0,31.0,m,m,0.19423077,0.44673297,0.3,0.52485794,9.55581654265,-8.543824844169999,4.279801396542,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.230769200000001,29.1406267,31.603288431624033,0,0,1,1,0,0
49,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,31.0,25.0,m,m,0.3,0.52485794,0.48076922,0.4921875,8.140534831275,3.572871770118,7.314567178044,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,37.734373399999996,38.573085641294334,0,0,1,1,0,0
50,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,25.0,4.0,m,w,0.48076922,0.4921875,0.775,0.3728693,17.66391872896,13.04875657659,11.905627368985,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7692312000000001,34.140625,34.14928977342982,0,0,1,1,0,0
51,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,4.0,27.0,w,w,0.775,0.3728693,0.675,0.30539772,8.41540878353,7.378761100795001,4.0463554689459995,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,21.015623000000005,23.720379636045653,0,0,1,1,0,0
52,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,27.0,29.0,w,w,0.675,0.30539772,0.8076923,0.2159091,11.16266974536,9.786564971819999,5.3692029665400005,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.000000000000002,13.593749199999998,15.29019350147344,0,0,1,1,0,0
53,2023,2023-06-24 09:00:00,1,1,1.6.1,6,1,29.0,21.0,w,w,0.8076923,0.2159091,0.8173077,0.0859375,14.219147294275,14.21382305399,0.38907428586599996,1,0,,pp,NE,43,1386,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.307692000000001,3.7500009999999975,12.866304437050486,0,0,1,1,0,0
54,2023,2023-06-24 09:00:00,1,1,1.6.2,6,2,35.0,27.0,m,w,0.22884615,0.18,0.19615385,0.07457387,11.6051487258,11.52950809654,1.32284706015,1,0,,pp,NE,43,1386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10.846154000000002,0.5,10.857672706050595,0,0,1,0,0,0
55,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,14.0,21.0,m,w,0.6980769,0.85795456,0.475,0.77627844,12.698872461239999,8.93218215932,9.02648743045,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.923076,74.3750016,74.79582873597818,0,0,1,1,0,0
56,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,21.0,31.0,w,m,0.475,0.77627844,0.12884615,0.6818182,17.40401793802,10.33026740025,14.00662114173,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0000000000000009,65.3906284,65.39827430863055,0,0,1,1,0,0
57,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,31.0,14.0,m,m,0.12884615,0.6818182,0.2326923,0.7691761,10.43681126089,-9.55355167634,4.201986014436,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14.846154,55.00000200000001,56.968486978255974,0,0,1,1,0,0
58,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,14.0,31.0,m,m,0.2326923,0.7691761,0.4653846,0.7556818,9.530510954055,1.475751563993,9.415561060149999,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.692308,64.60937100000001,65.4881384021756,0,0,1,1,0,0
59,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,31.0,25.0,m,m,0.4653846,0.7556818,0.825,0.63210225,19.85926534487,13.514784261159999,14.55132203609,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3846160000000007,63.12499799999999,63.14018161177127,0,0,1,1,0,0
60,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,25.0,21.0,m,w,0.825,0.63210225,0.76346153,0.50142044,14.50679898577,14.29149342341,2.49006576203,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.999999999999998,49.53124749999999,51.208832040051995,0,0,1,1,0,0
61,2023,2023-06-24 09:00:00,1,1,1.8.1,8,1,21.0,31.0,w,m,0.76346153,0.50142044,0.68653846,0.056818184,48.7216706403,48.62214556863999,3.1125821478569997,1,0,,pp,NE,43,1386,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10.538461200000002,35.156248399999996,36.70178423491708,0,0,1,1,0,0
62,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,35.0,21.0,m,w,0.5942308,0.8302557,0.44038463,0.7322443,12.395222895859998,10.71862252818,6.225164405075,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.769231999999998,71.32812700000001,71.42764738669442,0,0,1,1,0,0
63,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,21.0,27.0,w,w,0.44038463,0.7322443,0.6057692,0.6541193,10.85267505476,8.543828125,6.6920511202999995,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.3846148,60.54687299999999,60.59381336260746,0,0,1,1,0,0
64,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,27.0,35.0,w,m,0.6057692,0.6541193,0.28846154,0.62428975,13.24734412288,3.2621907298819997,12.83940134624,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.230768,51.95312299999999,52.12510323560954,0,0,1,1,0,0
65,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,35.0,27.0,m,w,0.28846154,0.62428975,0.08269231,0.5035511,15.610030566549998,13.20409622182,8.326157631014999,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8.461538399999998,48.67187249999999,49.4019109422999,0,0,1,1,0,0
66,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,27.0,25.0,w,m,0.08269231,0.5035511,0.6942308,0.51704544,24.78899566486,-1.475751563993,24.745029262030002,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,16.6923076,35.390621,39.129645893857244,0,0,1,1,0,0
67,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,25.0,27.0,m,w,0.6942308,0.51704544,0.72884613,0.3728693,15.82933546068,15.76724465932,1.400660036314,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.7692320000000015,36.874998399999996,37.68456544621188,0,0,1,1,0,0
68,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,27.0,31.0,w,m,0.72884613,0.3728693,0.90192306,0.26491478,13.726920541739998,11.80601535533,7.003310352142999,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,9.1538452,21.015623000000005,22.922680733799268,0,0,1,1,0,0
69,2023,2023-06-24 09:00:00,1,1,1.9.1,9,1,31.0,27.0,m,w,0.90192306,0.26491478,0.96153843,0.41761363,16.87262518375,-16.69929784124,2.4122508173679997,1,0,,pp,NE,43,1386,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,16.0769224,9.140625800000002,18.49374147843663,0,0,1,1,0,0
