action_id,gm_id,point,poss,thr_id,rec_id,num_passes,dist_from_ez,dist_from_middle,dist_from_mid_ez,from_pull,o_pt,upwind,downwind,wind_speed,opp_rank,opp_rtg,decayed_rtg,bracket,consolation,other,postseason,tct,scored_on_poss,scored_on_pt,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,player_13,player_14,player_16,player_17,player_18,player_19,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_30,player_31,player_32,player_35
2,1,1,1,20,23,0,71.2499984,9.307692,71.85537838,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,1,1,23,20,1,75.859379,4.5384608,75.99501963,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,1,1,20,23,2,75.859379,9.6153856,76.46633915,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,1,1,23,1,3,50.859371,10.615384,51.95538467,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,5,4,33.4375017,11.4615388,35.3473251,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,1,1,5,1,5,16.5625007,16.2307692,23.18952993,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,20,6,27.6562493,15.3076924,31.61002328,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,1,1,20,5,7,27.265625,0.769232,27.27647383,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1,1,1,5,20,8,6.8750009,13.53846,15.18405534,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,1,1,1,20,1,9,20.5468767,8.769232,22.33995461,0,0,0,0,0,43,1386,970.2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
